,STNAME,CTYNAME,Year,Population
5746,Texas,Galveston County,POPESTIMATE2015,320974
2282,Pennsylvania,Luzerne County,CENSUS2010POP,320918
8638,South Carolina,Spartanburg County,POPESTIMATE2019,319785
1914,North Carolina,Cumberland County,CENSUS2010POP,319431
1596,Missouri,St. Louis city,CENSUS2010POP,319294
7989,Nebraska,Lancaster County,POPESTIMATE2019,319090
6616,Florida,Escambia County,POPESTIMATE2019,318316
5423,Pennsylvania,Luzerne County,POPESTIMATE2015,318059
3391,Colorado,Boulder County,POPESTIMATE2015,318027
8564,Pennsylvania,Luzerne County,POPESTIMATE2019,317417
2839,Virginia,Chesterfield County,CENSUS2010POP,316236
4737,Missouri,St. Louis city,POPESTIMATE2015,316010
4166,Kentucky,Fayette County,POPESTIMATE2015,315819
2230,Oregon,Marion County,CENSUS2010POP,315335
2541,Texas,Brazoria County,CENSUS2010POP,313166
2871,Virginia,Loudoun County,CENSUS2010POP,312311
1870,New York,Rockland County,CENSUS2010POP,311687
4345,Maryland,Howard County,POPESTIMATE2015,311297
8955,Texas,Lubbock County,POPESTIMATE2019,310569
2535,Texas,Bell County,CENSUS2010POP,310235
8370,Ohio,Lorain County,POPESTIMATE2019,309833
8052,New Hampshire,Rockingham County,POPESTIMATE2019,309769
3475,Florida,Escambia County,POPESTIMATE2015,309311
5481,South Carolina,Horry County,POPESTIMATE2015,308987
649,Illinois,McHenry County,CENSUS2010POP,308760
3865,Indiana,Hamilton County,POPESTIMATE2015,308428
6931,Illinois,McHenry County,POPESTIMATE2019,307774
3790,Illinois,McHenry County,POPESTIMATE2015,307572
4968,New York,Albany County,POPESTIMATE2015,307433
2861,Virginia,Henrico County,CENSUS2010POP,306935
2781,Utah,Davis County,CENSUS2010POP,306479
4848,Nebraska,Lancaster County,POPESTIMATE2015,306096
8109,New York,Albany County,POPESTIMATE2019,305506
5229,Ohio,Lorain County,POPESTIMATE2015,305417
8572,Pennsylvania,Northampton County,POPESTIMATE2019,305285
1827,New York,Albany County,CENSUS2010POP,304204
4911,New Hampshire,Rockingham County,POPESTIMATE2015,302691
2088,Ohio,Lorain County,CENSUS2010POP,301356
5061,North Carolina,Durham County,POPESTIMATE2015,300793
7878,Missouri,St. Louis city,POPESTIMATE2019,300576
5431,Pennsylvania,Northampton County,POPESTIMATE2015,300090
279,Colorado,Larimer County,CENSUS2010POP,299630
8628,South Carolina,Lexington County,POPESTIMATE2019,298750
5814,Texas,Lubbock County,POPESTIMATE2015,298337
5642,Tennessee,Rutherford County,POPESTIMATE2015,298197
2290,Pennsylvania,Northampton County,CENSUS2010POP,297735
334,Florida,Escambia County,CENSUS2010POP,297619
3210,Alaska,Anchorage Municipality,POPESTIMATE2015,297547
